"mesh_term_lower","n_pmids","prop_total"
"8,11,14-eicosatrienoic acid",1497,0.000038932533897831668519
"8-bromo cyclic adenosine monophosphate",3716,0.000096642148272773867880
"8-hydroxy-2'-deoxyguanosine",5061,0.00013162161259647700
"8-hydroxy-2-(di-n-propylamino)tetralin",3427,0.000089126114674595275895
"9,10-dimethyl-1,2-benzanthracene",6067,0.00015778469148840664
a549 cells,13050,0.00033939182856827206
aaa domain,59,0.000001534415163641996288
aaa proteins,25,0.000000650175916797456054
abatacept,3523,0.000091622790195097507142
abattoirs,6628,0.00017237463906134155
abbreviated injury scale,1259,0.000032742859169919886884
abbreviations as topic,1148,0.000029856078099339182004
abciximab,2036,0.000052950326663984821045
abdomen,43134,0.00112178751980565878
"abdomen, acute",10000,0.00026007036671898242
abdominal abscess,3337,0.000086785481374124434100
abdominal cavity,5987,0.00015570412855465478
abdominal core,18,0.000000468126660094168359
abdominal fat,2904,0.000075524434495192495243
abdominal injuries,15854,0.00041231555939627473
abdominal muscles,12688,0.00032997728129304490
abdominal neoplasms,9783,0.00025442683976118050
abdominal oblique muscles,117,0.000003042823290612094333
abdominal pain,25248,0.00065662566189208682
abdominal wall,8043,0.00020917459595207756
abdominal wound closure techniques,931,0.000024212551141537263454
abdominoplasty,1129,0.000029361944402573115403
abducens nerve,1938,0.000050401637070138793313
abducens nerve diseases,1438,0.000037398118734189672231
abducens nerve injury,127,0.000003302893657331076755
abducens nucleus,12,0.000000312084440062778906
abelmoschus,548,0.000014251856096200236706
abelson murine leukemia virus,436,0.000011339067988947633583
aberrant crypt foci,301,0.000007828118038241370891
aberrant motor behavior in dementia,6,0.000000156042220031389453
aberrometry,694,0.000018048883450297380062
abetalipoproteinemia,608,0.000015812278296514131235
abies,745,0.000019375242320564190412
abietanes,3306,0.000085979263237295588593
abiotrophia,92,0.000002392647373814638279
abiraterone acetate,767,0.000019947397127345951739
ablation techniques,3823,0.000099424901196666979791
abnormal involuntary movement scale,8,0.000000208056293375185937
"abnormalities, drug-induced",14840,0.00038594442421096991
"abnormalities, multiple",44448,0.00115596076599253307
"abnormalities, radiation-induced",865,0.000022496086721191979472
"abnormalities, severe teratoid",1564,0.000040675005354848850744
abnormal karyotype,629,0.000016358426066623994321
abo blood-group system,16219,0.00042180812778151759
abomasum,2487,0.000064679500203010928261
aborted fetus,1323,0.000034407309516921374382
